iter	Passed	Remaining
0	4	450
1	8	416
2	12	399
3	15	380
4	20	390
5	24	381
6	28	376
7	32	369
8	33	341
9	35	320
10	37	300
11	38	285
12	40	271
13	42	259
14	43	248
15	45	238
16	47	229
17	48	221
18	50	214
19	51	207
20	53	201
21	54	194
22	56	189
23	58	184
24	59	179
25	61	174
26	62	170
27	64	165
28	66	161
29	67	158
30	69	154
31	71	150
32	72	147
33	74	144
34	75	141
35	77	137
36	79	134
37	80	131
38	82	129
39	84	126
40	85	123
41	86	119
42	87	116
43	89	114
44	91	111
45	92	109
46	94	106
47	96	104
48	97	101
49	99	99
50	100	96
51	102	94
52	104	92
53	105	90
54	106	87
55	108	85
56	110	82
57	111	80
58	113	78
59	114	76
60	116	74
61	118	72
62	119	70
63	121	68
64	122	66
65	124	64
66	126	62
67	127	60
68	129	58
69	131	56
70	132	54
71	134	52
72	136	50
73	137	48
74	139	46
75	140	44
76	142	42
77	144	40
78	145	38
79	147	36
80	148	34
81	150	33
82	152	31
83	153	29
84	155	27
85	156	25
86	158	23
87	160	21
88	162	20
89	164	18
90	165	16
91	167	14
92	168	12
93	170	10
94	172	9
95	173	7
96	175	5
97	176	3
98	178	1
99	179	0
